Wall time,Step,Value
1751418008.520214,2525,4.895944948657416e-05
1751418042.9064875,2550,4.8933747166302055e-05
1751418077.2241113,2575,4.890773561783135e-05
1751418111.6710348,2600,4.888141847914085e-05
1751418146.05472,2625,4.885479575023055e-05
1751418180.4523494,2650,4.882786743110046e-05
1751418215.031806,2675,4.880062988377176e-05
1751418249.466674,2700,4.877309038420208e-05
1751418283.8999634,2725,4.8745248932391405e-05
1751418318.1746051,2750,4.871709825238213e-05
1751418352.4435444,2775,4.868864925811067e-05
1751418386.8193476,2800,4.865989103564061e-05
1751418421.2644336,2825,4.863083449890837e-05
1751418455.6617243,2850,4.8601472371956334e-05
1751418490.0304086,2875,4.857180829276331e-05
1751418524.578924,2900,4.854184226132929e-05
1751418558.667442,2925,4.851157427765429e-05
1751418593.072262,2950,4.84810043417383e-05
1751418627.6679883,2975,4.845013245358132e-05
1751418661.1349926,3000,4.8418962251162156e-05
1751418946.5266829,3025,4.838749373448081e-05
1751418981.0935662,3050,4.835572326555848e-05
1751419015.6881576,3075,4.832365084439516e-05
1751419050.382594,3100,4.8291283746948466e-05
1751419084.9851456,3125,4.825861833523959e-05
1751419119.559862,3150,4.8225650971289724e-05
1751419154.010939,3175,4.8192388931056485e-05
1751419188.4214733,3200,4.8158828576561064e-05
1751419222.8510187,3225,4.812497354578227e-05
1751419257.457528,3250,4.809082020074129e-05
1751419292.1066964,3275,4.805636854143813e-05
1751419326.7335894,3300,4.802162584383041e-05
1751419361.4066792,3325,4.79865848319605e-05
1751419395.987494,3350,4.7951252781786025e-05
1751419430.6335933,3375,4.791562241734937e-05
1751419465.3188243,3400,4.7879701014608145e-05
1751419500.0246096,3425,4.7843488573562354e-05
1751419534.702732,3450,4.780697781825438e-05
1751419569.3747692,3475,4.777017966262065e-05
1751419603.9638348,3500,4.773308683070354e-05
1751419871.6180258,3525,4.769570296048187e-05
1751419906.0511506,3550,4.765803168993443e-05
1751419940.6125238,3575,4.7620065743103623e-05
1751419975.0659113,3600,4.7581812395947054e-05
1751420009.5799015,3625,4.754326801048592e-05
1751420044.0339184,3650,4.750443622469902e-05
1751420078.5103915,3675,4.746531703858636e-05
1751420112.880149,3700,4.742590681416914e-05
1751420147.146213,3725,4.738621282740496e-05
1751420180.5751896,3750,4.7346227802336216e-05
1751420215.2130713,3775,4.730595901492052e-05
1751420249.866401,3800,4.726540282717906e-05
1751420284.439276,3825,4.722456287709065e-05
1751420318.9082398,3850,4.718343916465528e-05
1751420353.4887786,3875,4.714202805189416e-05
1751420387.958101,3900,4.710033681476489e-05
